phi_rad,phi_deg,P1_theorique,P1_mesuree
0.000000,0.00,0.000000,0.000000
0.106495,6.10,0.002833,0.001953
0.212989,12.20,0.011298,0.014648
0.319484,18.31,0.025301,0.020508
0.425979,24.41,0.044683,0.047363
0.532473,30.51,0.069223,0.071777
0.638968,36.61,0.098644,0.096680
0.745463,42.71,0.132613,0.126465
0.851957,48.81,0.170744,0.176758
0.958452,54.92,0.212606,0.198242
1.064947,61.02,0.257725,0.254395
1.171441,67.12,0.305588,0.293457
1.277936,73.22,0.355654,0.367188
1.384431,79.32,0.407356,0.396973
1.490925,85.42,0.460107,0.468262
1.597420,91.53,0.513310,0.495117
1.703915,97.63,0.566363,0.590820
1.810409,103.73,0.618663,0.620605
1.916904,109.83,0.669619,0.659668
2.023399,115.93,0.718654,0.706543
2.129893,122.03,0.765210,0.754883
2.236388,128.14,0.808762,0.808105
2.342883,134.24,0.848816,0.844238
2.449377,140.34,0.884917,0.891602
2.555872,146.44,0.916657,0.915039
2.662367,152.54,0.943676,0.932129
2.768861,158.64,0.965668,0.963867
2.875356,164.75,0.982384,0.984863
2.981851,170.85,0.993634,0.994629
3.088345,176.95,0.999291,0.998047
3.194840,183.05,0.999291,1.000000
3.301335,189.15,0.993634,0.991699
3.407829,195.25,0.982384,0.983398
3.514324,201.36,0.965668,0.959961
3.620819,207.46,0.943676,0.937500
3.727313,213.56,0.916657,0.911621
3.833808,219.66,0.884917,0.878418
3.940303,225.76,0.848816,0.849121
4.046797,231.86,0.808762,0.817383
4.153292,237.97,0.765210,0.770020
4.259787,244.07,0.718654,0.717773
4.366281,250.17,0.669619,0.671875
4.472776,256.27,0.618663,0.592773
4.579271,262.37,0.566363,0.564453
4.685765,268.47,0.513310,0.515625
4.792260,274.58,0.460107,0.457031
4.898755,280.68,0.407356,0.405273
5.005249,286.78,0.355654,0.359863
5.111744,292.88,0.305588,0.300293
5.218239,298.98,0.257725,0.243164
5.324733,305.08,0.212606,0.212891
5.431228,311.19,0.170744,0.168945
5.537723,317.29,0.132613,0.132812
5.644217,323.39,0.098644,0.099121
5.750712,329.49,0.069223,0.068848
5.857207,335.59,0.044683,0.043457
5.963701,341.69,0.025301,0.025879
6.070196,347.80,0.011298,0.008301
6.176691,353.90,0.002833,0.003418
6.283185,360.00,0.000000,0.000000
