t_s,theta_total_rad,theta_force_rad,theta_therm_rad,theta_bruit_rad,theta_filtre_rad,commande
0.0000,-9.9627100811e-06,0.0000000000e+00,-6.5844622929e-07,-9.3042638518e-06,-1.0624618947e-03,1
1.0000,-5.0414483991e-06,2.1008150338e-07,-6.2994933715e-07,-4.6215805653e-06,-9.8588549796e-04,1
2.0000,-8.6171157279e-07,8.4029882040e-07,-6.0157458926e-07,-1.1004358039e-06,-9.0929641870e-04,1
3.0000,2.2679538562e-06,1.8905985593e-06,-5.7332152928e-07,9.5067682612e-07,-8.3269619231e-04,1
4.0000,4.5058695986e-06,3.3609105278e-06,-5.4518970111e-07,1.6901487719e-06,-7.5608635420e-04,1
5.0000,6.3048546321e-06,5.2511477361e-06,-5.1717864875e-07,1.5708855448e-06,-6.7946843984e-04,1
6.0000,8.1784192015e-06,7.5612064004e-06,-4.8928791626e-07,1.1065007174e-06,-6.0284398473e-04,1
7.0000,1.0502193254e-05,1.0290965947e-05,-4.6151704770e-07,6.7274435427e-07,-5.2621452434e-04,1
8.0000,1.3441531289e-05,1.3440289019e-05,-4.3386558708e-07,4.3510785711e-07,-4.4958159411e-04,1
9.0001,1.7021180608e-05,1.7009021476e-05,-4.0633307843e-07,4.1849221010e-07,-3.7294672941e-04,1
10.0001,2.1191021747e-05,2.0996992408e-05,-3.7891906582e-07,5.7294840560e-07,-2.9631146550e-04,1
11.0001,2.5863945406e-05,2.5404014132e-05,-3.5162309346e-07,8.1155436814e-07,-2.1967733752e-04,1
12.0001,3.0947645827e-05,3.0229882207e-05,-3.2444470580e-07,1.0422083259e-06,-1.4304588044e-04,1
13.0001,3.6352917662e-05,3.5474375438e-05,-2.9738344772e-07,1.1759256724e-06,-6.6418629017e-05,1
14.0001,4.2023935909e-05,4.1137255880e-05,-2.7043886451e-07,1.1571188931e-06,1.0202882186e-05,1
15.0001,4.7996957586e-05,4.7218268854e-05,-2.4361050190e-07,1.0222992339e-06,8.6817118883e-05,1
16.0001,5.4377753463e-05,5.3717142947e-05,-2.1689790598e-07,8.7750842212e-07,1.6342254707e-04,1
17.0001,6.1244878392e-05,6.0633590030e-05,-1.9030062336e-07,8.0158898583e-07,2.4001763306e-04,1
18.0001,6.8593175499e-05,6.7967305258e-05,-1.6381820110e-07,7.8968844186e-07,3.1660084351e-04,1
19.0001,7.6368843705e-05,7.5717967090e-05,-1.3745018678e-07,7.8832680164e-07,3.9317064546e-04,1
20.0001,8.4501161679e-05,8.3885237293e-05,-1.1119612844e-07,7.2712051486e-07,4.6972550637e-04,1
21.0001,9.2916125492e-05,9.2468760953e-05,-8.5055574388e-08,5.3242011294e-07,5.4626389413e-04,1
22.0001,1.0158591339e-04,1.0146816649e-04,-5.9028073231e-08,1.7677497270e-07,6.2278427710e-04,1
23.0001,1.1058134995e-04,1.1088306568e-04,-3.3113173908e-08,-2.6860255400e-07,6.9928512414e-04,1
24.0001,1.2001569702e-04,1.2071305363e-04,-7.3104257125e-09,-6.9004618116e-07,7.7576490464e-04,1
25.0001,1.2995633538e-04,1.3095770885e-04,1.8380621745e-08,-1.0197540925e-06,8.5222208859e-04,1
26.0001,1.4042603978e-04,1.4161659320e-04,4.3960418374e-08,-1.2345138451e-06,9.2865514651e-04,1
27.0002,1.5144871097e-04,1.5268925198e-04,6.9429413557e-08,-1.3099704288e-06,1.0050625496e-03,1
28.0002,1.6305904799e-04,1.6417521387e-04,9.4788056189e-08,-1.2109539361e-06,1.0814427697e-03,1
29.0002,1.7527079154e-04,1.7607399099e-04,1.2003679474e-07,-9.2323623685e-07,1.1577942793e-03,1
30.0002,1.8801889874e-04,1.8838507890e-04,1.4517607737e-07,-5.1135623661e-07,1.2341155516e-03,1
31.0002,2.0119011303e-04,2.0110795663e-04,1.7020635187e-07,-8.8049946003e-08,1.3104050607e-03,1
32.0002,2.1469601699e-04,2.1424208667e-04,1.9512806561e-07,2.5880225284e-07,1.3866612813e-03,1
33.0002,2.2849380912e-04,2.2778691503e-04,2.1994166574e-07,4.8695241573e-07,1.4628826890e-03,1
34.0002,2.4253214480e-04,2.4174187122e-04,2.4464759929e-07,5.4562598677e-07,1.5390677601e-03,1
35.0002,2.5676819766e-04,2.5610636825e-04,2.6924631333e-07,3.9258308877e-07,1.6152149720e-03,1
36.0002,2.7123868522e-04,2.7087980274e-04,2.9373825487e-07,6.5144224351e-08,1.6913228027e-03,1
