t_s,P_mbar,n_e_m3,T_e_eV,u1_vanne,u2_magnetron,Pr_norm,lum_norm
0.0000,1.0000,1.0000e+14,0.5000,0.5000,0.5000,0.997322,0.000002
0.1000,0.9978,4.9826e+13,0.1000,0.0000,0.5700,0.998665,0.000000
0.2000,0.9937,3.3211e+13,0.1000,0.0000,0.5400,0.999110,0.000000
0.3000,0.9897,2.4913e+13,0.1000,0.0000,0.5600,0.999332,0.000000
0.4000,0.9856,1.9936e+13,0.1000,0.0000,0.5800,0.999466,0.000000
0.5000,0.9816,1.6617e+13,0.1000,0.0000,0.6000,0.999555,0.000000
0.6000,0.9776,1.4246e+13,0.1000,0.0000,0.6200,0.999618,0.000000
0.7000,0.9737,1.2467e+13,0.1000,0.0000,0.6400,0.999666,0.000000
0.8000,0.9697,1.1084e+13,0.1000,0.0000,0.6600,0.999703,0.000000
0.9000,0.9658,9.9770e+12,0.1000,0.0000,0.6800,0.999733,0.000000
1.0000,0.9618,9.0711e+12,0.1000,0.0000,0.7000,0.999757,0.000000
1.1000,0.9579,8.3161e+12,0.1000,0.0000,0.7200,0.999777,0.000000
1.2000,0.9540,7.6771e+12,0.1000,0.0000,0.7400,0.999794,0.000000
1.3000,0.9501,7.1294e+12,0.1000,0.0000,0.7600,0.999809,0.000000
1.4000,0.9463,6.6546e+12,0.1000,0.0000,0.7800,0.999822,0.000000
1.5001,0.9424,6.2392e+12,0.1000,0.0000,0.8000,0.999833,0.000000
1.6001,0.9386,5.8725e+12,0.1000,0.0000,0.8200,0.999843,0.000000
1.7001,0.9348,5.5466e+12,0.1000,0.0000,0.8400,0.999851,0.000000
1.8001,0.9310,5.2550e+12,0.1000,0.0000,0.8600,0.999859,0.000000
1.9001,0.9272,4.9925e+12,0.1000,0.0000,0.8800,0.999866,0.000000
2.0001,0.9234,4.7550e+12,0.1000,0.0000,0.9000,0.999873,0.000000
2.1001,0.9197,4.5391e+12,0.1000,0.0000,0.9200,0.999878,0.000000
2.2001,0.9159,4.3419e+12,0.1000,0.0000,0.9400,0.999884,0.000000
2.3001,0.9122,4.1611e+12,0.1000,0.0000,0.9600,0.999888,0.000000
2.4001,0.9085,3.9948e+12,0.1000,0.0000,0.9800,0.999893,0.000000
2.5001,0.9048,3.8413e+12,0.1000,0.0000,1.0000,0.999897,0.000000
2.6001,0.9011,3.6992e+12,0.1000,0.0000,1.0000,0.999901,0.000000
2.7001,0.8975,3.5672e+12,0.1000,0.0000,1.0000,0.999904,0.000000
2.8001,0.8938,3.4443e+12,0.1000,0.0000,1.0000,0.999908,0.000000
2.9001,0.8902,3.3296e+12,0.1000,0.0000,1.0000,0.999911,0.000000
3.0001,0.8866,3.2222e+12,0.1000,0.0000,1.0000,0.999914,0.000000
3.1001,0.8830,3.1216e+12,0.1000,0.0000,1.0000,0.999916,0.000000
3.2001,0.8794,3.0271e+12,0.1000,0.0000,1.0000,0.999919,0.000000
3.3001,0.8758,2.9381e+12,0.1000,0.0000,1.0000,0.999921,0.000000
3.4001,0.8722,2.8542e+12,0.1000,0.0000,1.0000,0.999924,0.000000
3.5001,0.8687,2.7750e+12,0.1000,0.0000,1.0000,0.999926,0.000000
3.6001,0.8652,2.7001e+12,0.1000,0.0000,1.0000,0.999928,0.000000
3.7001,0.8616,2.6291e+12,0.1000,0.0000,1.0000,0.999930,0.000000
3.8001,0.8581,2.5617e+12,0.1000,0.0000,1.0000,0.999931,0.000000
3.9001,0.8546,2.4977e+12,0.1000,0.0000,1.0000,0.999933,0.000000
4.0001,0.8512,2.4368e+12,0.1000,0.0000,1.0000,0.999935,0.000000
4.1001,0.8477,2.3788e+12,0.1000,0.0000,1.0000,0.999936,0.000000
4.2001,0.8443,2.3235e+12,0.1000,0.0000,1.0000,0.999938,0.000000
4.3001,0.8408,2.2708e+12,0.1000,0.0000,1.0000,0.999939,0.000000
4.4001,0.8374,2.2203e+12,0.1000,0.0000,1.0000,0.999940,0.000000
4.5002,0.8340,2.1721e+12,0.1000,0.0000,1.0000,0.999942,0.000000
4.6002,0.8306,2.1259e+12,0.1000,0.0000,1.0000,0.999943,0.000000
4.7002,0.8272,2.0817e+12,0.1000,0.0000,1.0000,0.999944,0.000000
4.8002,0.8239,2.0392e+12,0.1000,0.0000,1.0000,0.999945,0.000000
4.9002,0.8205,1.9984e+12,0.1000,0.0000,1.0000,0.999946,0.000000
5.0002,0.8172,1.9593e+12,0.1000,0.0000,1.0000,0.999947,0.000000
5.1002,0.8139,1.9216e+12,0.1000,0.0000,1.0000,0.999949,0.000000
5.2002,0.8106,1.8854e+12,0.1000,0.0000,1.0000,0.999949,0.000000
5.3002,0.8073,1.8505e+12,0.1000,0.0000,1.0000,0.999950,0.000000
5.4002,0.8040,1.8169e+12,0.1000,0.0000,1.0000,0.999951,0.000000
5.5002,0.8007,1.7844e+12,0.1000,0.0000,1.0000,0.999952,0.000000
5.6002,0.7974,1.7531e+12,0.1000,0.0000,1.0000,0.999953,0.000000
5.7002,0.7942,1.7229e+12,0.1000,0.0000,1.0000,0.999954,0.000000
5.8002,0.7910,1.6937e+12,0.1000,0.0000,1.0000,0.999955,0.000000
5.9002,0.7878,1.6655e+12,0.1000,0.0000,1.0000,0.999955,0.000000
6.0002,0.7846,1.6382e+12,0.1000,0.0000,1.0000,0.999956,0.000000
6.1002,0.7814,1.6118e+12,0.1000,0.0000,1.0000,0.999957,0.000000
6.2002,0.7782,1.5863e+12,0.1000,0.0000,1.0000,0.999957,0.000000
6.3002,0.7750,1.5615e+12,0.1000,0.0000,1.0000,0.999958,0.000000
6.4002,0.7719,1.5375e+12,0.1000,0.0000,1.0000,0.999959,0.000000
6.5002,0.7687,1.5142e+12,0.1000,0.0000,1.0000,0.999959,0.000000
6.6002,0.7656,1.4916e+12,0.1000,0.0000,1.0000,0.999960,0.000000
6.7002,0.7625,1.4697e+12,0.1000,0.0000,1.0000,0.999961,0.000000
6.8002,0.7594,1.4484e+12,0.1000,0.0000,1.0000,0.999961,0.000000
6.9002,0.7563,1.4277e+12,0.1000,0.0000,1.0000,0.999962,0.000000
