theta_rad,theta_urad,eta,classification
1.000000e-07,0.1000,0.0000,INFIRMÉ (η + 3σ < 1)
1.151395e-07,0.1151,0.0000,INFIRMÉ (η + 3σ < 1)
1.325711e-07,0.1326,0.0000,INFIRMÉ (η + 3σ < 1)
1.526418e-07,0.1526,0.0000,INFIRMÉ (η + 3σ < 1)
1.757511e-07,0.1758,0.0000,INFIRMÉ (η + 3σ < 1)
2.023590e-07,0.2024,0.0000,INFIRMÉ (η + 3σ < 1)
2.329952e-07,0.2330,0.0000,INFIRMÉ (η + 3σ < 1)
2.682696e-07,0.2683,0.0000,INFIRMÉ (η + 3σ < 1)
3.088844e-07,0.3089,0.0000,INFIRMÉ (η + 3σ < 1)
3.556480e-07,0.3556,0.0000,INFIRMÉ (η + 3σ < 1)
4.094915e-07,0.4095,0.0000,INFIRMÉ (η + 3σ < 1)
4.714866e-07,0.4715,0.0000,INFIRMÉ (η + 3σ < 1)
5.428675e-07,0.5429,0.0000,INFIRMÉ (η + 3σ < 1)
6.250552e-07,0.6251,0.0000,INFIRMÉ (η + 3σ < 1)
7.196857e-07,0.7197,0.0000,INFIRMÉ (η + 3σ < 1)
8.286428e-07,0.8286,0.0000,INFIRMÉ (η + 3σ < 1)
9.540955e-07,0.9541,0.0000,INFIRMÉ (η + 3σ < 1)
1.098541e-06,1.0985,0.0001,INFIRMÉ (η + 3σ < 1)
1.264855e-06,1.2649,0.0001,INFIRMÉ (η + 3σ < 1)
1.456348e-06,1.4563,0.0001,INFIRMÉ (η + 3σ < 1)
1.676833e-06,1.6768,0.0001,INFIRMÉ (η + 3σ < 1)
1.930698e-06,1.9307,0.0001,INFIRMÉ (η + 3σ < 1)
2.222996e-06,2.2230,0.0001,INFIRMÉ (η + 3σ < 1)
2.559548e-06,2.5595,0.0001,INFIRMÉ (η + 3σ < 1)
2.947052e-06,2.9471,0.0001,INFIRMÉ (η + 3σ < 1)
3.393222e-06,3.3932,0.0002,INFIRMÉ (η + 3σ < 1)
3.906940e-06,3.9069,0.0002,INFIRMÉ (η + 3σ < 1)
4.498433e-06,4.4984,0.0002,INFIRMÉ (η + 3σ < 1)
5.179475e-06,5.1795,0.0003,INFIRMÉ (η + 3σ < 1)
5.963623e-06,5.9636,0.0003,INFIRMÉ (η + 3σ < 1)
6.866488e-06,6.8665,0.0003,INFIRMÉ (η + 3σ < 1)
7.906043e-06,7.9060,0.0004,INFIRMÉ (η + 3σ < 1)
9.102982e-06,9.1030,0.0005,INFIRMÉ (η + 3σ < 1)
1.048113e-05,10.4811,0.0005,INFIRMÉ (η + 3σ < 1)
1.206793e-05,12.0679,0.0006,INFIRMÉ (η + 3σ < 1)
1.389495e-05,13.8950,0.0007,INFIRMÉ (η + 3σ < 1)
1.599859e-05,15.9986,0.0008,INFIRMÉ (η + 3σ < 1)
1.842070e-05,18.4207,0.0009,INFIRMÉ (η + 3σ < 1)
2.120951e-05,21.2095,0.0011,INFIRMÉ (η + 3σ < 1)
2.442053e-05,24.4205,0.0012,INFIRMÉ (η + 3σ < 1)
2.811769e-05,28.1177,0.0014,INFIRMÉ (η + 3σ < 1)
3.237458e-05,32.3746,0.0016,INFIRMÉ (η + 3σ < 1)
3.727594e-05,37.2759,0.0019,INFIRMÉ (η + 3σ < 1)
4.291934e-05,42.9193,0.0021,INFIRMÉ (η + 3σ < 1)
4.941713e-05,49.4171,0.0025,INFIRMÉ (η + 3σ < 1)
5.689866e-05,56.8987,0.0028,INFIRMÉ (η + 3σ < 1)
6.551286e-05,65.5129,0.0033,INFIRMÉ (η + 3σ < 1)
7.543120e-05,75.4312,0.0038,INFIRMÉ (η + 3σ < 1)
8.685114e-05,86.8511,0.0043,INFIRMÉ (η + 3σ < 1)
1.000000e-04,100.0000,0.0050,INFIRMÉ (η + 3σ < 1)
