z_max_mm,F_horiz_uN,F_vert_uN,F_total_uN,ratio_HV
75.0,0.000000,0.000000,0.000000,0.8375
86.6,0.000000,0.000000,0.000000,1.1253
98.2,0.000000,0.000000,0.000000,1.7109
109.8,0.000000,0.000000,0.000000,3.1994
121.4,0.000000,0.000000,0.000000,14.0393
133.0,0.000000,0.000000,0.000000,6.1902
144.6,0.000000,0.000000,0.000000,2.4222
156.2,0.000000,0.000000,0.000000,1.4316
167.9,0.000000,0.000000,0.000000,0.9912
179.5,0.000000,0.000000,0.000000,0.7702
191.1,0.000000,0.000000,0.000000,0.6732
202.7,0.000000,0.000000,0.000000,0.6832
214.3,0.000000,0.000000,0.000000,0.8880
225.9,0.000000,0.000000,0.000000,2.5078
237.5,0.000000,0.000000,0.000000,1.3726
